Category,Identifier,Material Specification,Primary Functional Role,Dimensional Target (Tier 1),Sourcing / Assembly Notes
Hull Stackup,Layer 1: External Shield,Fired Alumina-Silicate Ceramic,High-temperature thermal insulation and impact protection shield,2.5mm,Local regional clay or shale sifted via 200-mesh screen and kiln-fired to 1200°C.
Hull Stackup,Layer 2: Ground Plane,Compressed Recycled Aluminum Foil,Faraday cage electromagnetic grounding and spatial noise shield,0.1mm,Standard domestic aluminum foil scrap micro-layered and mechanically compressed.
Hull Stackup,Layer 3: Sensor Array,Multi-Walled Carbon Nanotube (MWCNT) Mesh,Piezoresistive stress and strain tracking (The Nervous System),0.05mm,Applied via water-based CNT suspension sprayed directly onto Layer 4 with an airbrush.
Hull Stackup,Layer 4: Structural Core,3D Orthogonal Woven Carbon Fiber,Primary mechanical load-bearing skeleton and high-speed horizontal heat sink,6.0mm,High-modulus industrial carbon fiber fabric pre-formed into geometric frames.
Hull Stackup,Layer 5: Internal Barrier,Fused Quartz Mounting Rings / Plates,Complete thermal and electromagnetic isolation for the computing brain,4.0mm,High-purity fused silica glass sheets or rods sourced from laboratory recycling streams.
Interconnect,Structural Pin,Hard-Anodized Aluminum (Al2O3 Skin),Insulated structural fastener with conductive tip to read mesh strain,Tapered 3mm x 15mm,Press-fit through Layer 4/5; tips touch Layer 3 mesh; maps resistance changes to ADC.
Interconnect,Thermal Highway,Compressed Monolithic Graphite,High-speed directional heat siphon passing through the quartz wall,4.0mm Rods,Flushed through quartz relief channels to link the hot processor directly to the outer carbon hull.
Energy Vault,Battery Tank Core,Indestructible Carbon-Ceramic Matrix,Chemical containment vessel for highly corrosive molten sodium salt,120mm x 120mm x 150mm,Molded from short-fiber carbon-clay slurry and vacuum-infused before firing.
Energy Vault,Electrolyte Matrix,Sodium Chloride - Aluminum Chloride (NaCl-AlCl3),Abundant stationary energy storage medium (158°C melting point),1.5 Liters,Technical grade table salt blended with aluminum chloride in a dry atmosphere.
Energy Vault,Solid Separator,Beta-Alumina Solid Electrolyte (BASE) Ceramic,Selective sodium-ion pass-through filter between liquid chambers,1.5mm Membrane tube,Sourced from industrial sodium-lamp recycling or technical ceramic suppliers.
